ticker,name,aliases
CBRE,C B R E GROUP INC,C B R E GROUP|C B R E GROUP INC|C B R E Group|C B R E Group Inc|CBRE
CRM,SALESFORCE INC,CRM|SALESFORCE|SALESFORCE INC|Salesforce|Salesforce Inc
DPZ,DOMINOS PIZZA INC,DOMINOS PIZZA|DOMINOS PIZZA INC|DPZ|Dominos Pizza|Dominos Pizza Inc
EXR,EXTRA SPACE STORAGE INC,EXR|EXTRA SPACE STORAGE|EXTRA SPACE STORAGE INC|Extra Space Storage|Extra Space Storage Inc
GOOGL,ALPHABET INC,ALPHABET|ALPHABET INC|Alphabet|Alphabet Inc|GOOGL
DLR,DIGITAL REALTY TRUST INC,DIGITAL REALTY TRUST|DIGITAL REALTY TRUST INC|DLR|Digital Realty Trust|Digital Realty Trust Inc
MOS,MOSAIC CO NEW,MOS|MOSAIC CO NEW|Mosaic Co New
MKTX,MARKETAXESS HLDGS INC,MARKETAXESS HLDGS|MARKETAXESS HLDGS INC|MKTX|Marketaxess Hldgs|Marketaxess Hldgs Inc
MPWR,MONOLITHIC PWR SYS INC,MONOLITHIC PWR SYS|MONOLITHIC PWR SYS INC|MPWR|Monolithic Pwr Sys|Monolithic Pwr Sys Inc
LVS,LAS VEGAS SANDS CORP,LAS VEGAS SANDS|LAS VEGAS SANDS CORP|LVS|Las Vegas Sands|Las Vegas Sands Corp
CE,CELANESE CORP DEL,CE|CELANESE CORP DEL|Celanese Corp Del
NDAQ,NASDAQ INC,NASDAQ|NASDAQ INC|NDAQ|Nasdaq|Nasdaq Inc
DXCM,DEXCOM INC,DEXCOM|DEXCOM INC|DXCM|Dexcom|Dexcom Inc
EXPE,EXPEDIA GROUP INC,EXPE|EXPEDIA GROUP|EXPEDIA GROUP INC|Expedia Group|Expedia Group Inc
CF,C F INDUSTRIES HOLDINGS INC,C F INDUSTRIES HOLDINGS|C F INDUSTRIES HOLDINGS INC|C F Industries Holdings|C F Industries Holdings Inc|CF
AMP,AMERIPRISE FINANCIAL INC,AMERIPRISE FINANCIAL|AMERIPRISE FINANCIAL INC|AMP|Ameriprise Financial|Ameriprise Financial Inc
ICE,INTERCONTINENTALEXCHANGE GRP INC,ICE|INTERCONTINENTALEXCHANGE GRP|INTERCONTINENTALEXCHANGE GRP INC|Intercontinentalexchange Grp|Intercontinentalexchange Grp Inc
LYV,LIVE NATION ENTERTAINMENT INC,LIVE NATION ENTERTAINMENT|LIVE NATION ENTERTAINMENT INC|LYV|Live Nation Entertainment|Live Nation Entertainment Inc
CMG,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL|CHIPOTLE MEXICAN GRILL INC|CMG|Chipotle Mexican Grill|Chipotle Mexican Grill Inc
UAL,UNITED AIRLINES HOLDINGS INC,UAL|UNITED AIRLINES HOLDINGS|UNITED AIRLINES HOLDINGS INC|United Airlines Holdings|United Airlines Holdings Inc
TDG,TRANSDIGM GROUP INC,TDG|TRANSDIGM GROUP|TRANSDIGM GROUP INC|Transdigm Group|Transdigm Group Inc
MA,MASTERCARD INC,MA|MASTERCARD|MASTERCARD INC|Mastercard|Mastercard Inc
LDOS,LEIDOS HOLDINGS INC,LDOS|LEIDOS HOLDINGS|LEIDOS HOLDINGS INC|Leidos Holdings|Leidos Holdings Inc
ROST,ROSS STORES INC,ROSS STORES|ROSS STORES INC|ROST|Ross Stores|Ross Stores Inc
FSLR,FIRST SOLAR INC,FIRST SOLAR|FIRST SOLAR INC|FSLR|First Solar|First Solar Inc
BR,BROADRIDGE FINANCIAL SOLUTNS INC,BR|BROADRIDGE FINANCIAL SOLUTNS|BROADRIDGE FINANCIAL SOLUTNS INC|Broadridge Financial Solutns|Broadridge Financial Solutns Inc
DAL,DELTA AIR LINES INC,DAL|DELTA AIR LINES|DELTA AIR LINES INC|Delta Air Lines|Delta Air Lines Inc
TMUS,T MOBILE U S INC,T MOBILE U S|T MOBILE U S INC|T Mobile U S|T Mobile U S Inc|TMUS
DFS,DISCOVER FINANCIAL SERVICES,DFS|DISCOVER FINANCIAL SERVICES|Discover Financial Services
TEL,T E CONNECTIVITY LTD,T E CONNECTIVITY LTD|T E Connectivity Ltd|TEL
ULTA,ULTA BEAUTY INC,ULTA|ULTA BEAUTY|ULTA BEAUTY INC|Ulta Beauty|Ulta Beauty Inc
MSCI,M S C I INC,M S C I|M S C I INC|M S C I Inc|MSCI
PM,PHILIP MORRIS INTERNATIONAL INC,PHILIP MORRIS INTERNATIONAL|PHILIP MORRIS INTERNATIONAL INC|PM|Philip Morris International|Philip Morris International Inc
V,VISA INC,V|VISA|VISA INC|Visa|Visa Inc
AWK,AMERICAN WATER WORKS CO INC,AMERICAN WATER WORKS CO|AMERICAN WATER WORKS CO INC|AWK|American Water Works Co|American Water Works Co Inc
UNH,UNITEDHEALTH GROUP INC,UNH|UNITEDHEALTH GROUP|UNITEDHEALTH GROUP INC|Unitedhealth Group|Unitedhealth Group Inc
AVGO,BROADCOM INC,AVGO|BROADCOM|BROADCOM INC|Broadcom|Broadcom Inc
VRSK,VERISK ANALYTICS INC,VERISK ANALYTICS|VERISK ANALYTICS INC|VRSK|Verisk Analytics|Verisk Analytics Inc
DG,DOLLAR GENERAL CORP NEW,DG|DOLLAR GENERAL CORP NEW|Dollar General Corp New
FTNT,FORTINET INC,FORTINET|FORTINET INC|FTNT|Fortinet|Fortinet Inc
GNRC,GENERAC HOLDINGS INC,GENERAC HOLDINGS|GENERAC HOLDINGS INC|GNRC|Generac Holdings|Generac Holdings Inc
CBOE,C B O E GLOBAL MARKETS INC,C B O E GLOBAL MARKETS|C B O E GLOBAL MARKETS INC|C B O E Global Markets|C B O E Global Markets Inc|CBOE
TSLA,TESLA INC,TESLA|TESLA INC|TSLA|Tesla|Tesla Inc
EME,Emcor,EME|Emcor
HOOD,Robinhood Markets,HOOD|Robinhood Markets
APP,AppLovin,APP|AppLovin|Applovin
IBKR,Interactive Brokers,IBKR|Interactive Brokers
SQ,"Block, Inc.","Block, Inc.|SQ"
TTD,Trade Desk (The),TTD|Trade Desk (The)
DDOG,Datadog,DDOG|Datadog
COIN,Coinbase,COIN|Coinbase
DASH,DoorDash,DASH|DoorDash|Doordash
TKO,TKO Group Holdings,TKO|TKO Group Holdings|Tko Group Holdings
WSM,"Williams-Sonoma, Inc.","WSM|Williams-Sonoma, Inc."
EXE,Expand Energy,EXE|Expand Energy
APO,Apollo Global Management,APO|Apollo Global Management
WDAY,"Workday, Inc.","WDAY|Workday, Inc."
LII,Lennox International,LII|Lennox International
TPL,Texas Pacific Land Corporation,TPL|Texas Pacific Land Corporation
PLTR,Palantir Technologies,PLTR|Palantir Technologies
DELL,Dell Technologies,DELL|Dell Technologies
ERIE,Erie Indemnity,ERIE|Erie Indemnity
KKR,KKR,KKR|Kkr
CRWD,CrowdStrike,CRWD|CrowdStrike|Crowdstrike
GDDY,GoDaddy,GDDY|GoDaddy|Godaddy
VST,Vistra,VST|Vistra
GEV,GE Vernova,GE Vernova|GEV|Ge Vernova
SOLV,Solventum,SOLV|Solventum
SMCI,Supermicro,SMCI|Supermicro
DECK,Deckers Brands,DECK|Deckers Brands
UBER,Uber,UBER|Uber
JBL,Jabil,JBL|Jabil
BLDR,Builders FirstSource,BLDR|Builders FirstSource|Builders Firstsource
HUBB,Hubbell,HUBB|Hubbell
LULU,Lululemon Athletica,LULU|Lululemon Athletica
VLTO,Veralto,VLTO|Veralto
BX,Blackstone,BX|Blackstone
ABNB,Airbnb,ABNB|Airbnb
KVUE,Kenvue,KVUE|Kenvue
PANW,Palo Alto Networks,PANW|Palo Alto Networks
AXON,Axon Enterprise,AXON|Axon Enterprise
FICO,Fair Isaac,FICO|Fair Isaac
BG,Bunge Global,BG|Bunge Global
PODD,Insulet,Insulet|PODD
GEHC,GE HealthCare,GE HealthCare|GEHC|Ge Healthcare
